Operation,MAX_POOL_2D_36K
Data Size,36K
valid,8/8
sessions,1

initial_comms_mean,initial_comms_stdev,inital_comms_median
3600.5000000000064,3936.4634508654235,3600.5000000000064

Session: 1
valid,2/2
first_host_submission_mean,first_tpu_comms_mean,first_tpu_return_mean,first_inference_mean,first_total_mean
36.49999999999487,112.99999999991871,85.00000000000173,112.99999999991871,234.49999999991533

first_host_submission_std,first_tpu_comms_std,first_tpu_return_std,first_inference_std,first_total_std
9.192388155453937,1.4142135624137617,2.8284271246705144,1.4142135624137617,7.778174593197185

first_host_submission_med,first_tpu_comms_med,first_tpu_return_med,first_inference_med,first_total_med
36.49999999999487,112.99999999991871,85.00000000000173,112.99999999991871,234.49999999991533

host_submission_mean,tpu_comms_mean,tpu_return_mean,inference_mean,total_mean
27.374999999996152,111.75000000002156,84.50000000004287,111.75000000002156,223.6250000000606

host_submission_stdev,tpu_comms_stdev,tpu_return_stdev,inference_stdev,total_stdev
7.229651246207045,2.7645717829799814,1.195228609289145,2.7645717829799814,9.515964030358788

host_submission_med,tpu_comms_med,tpu_return_med,inference_med,total_med
25.500000000011624,112.000000000001,84.00000000019503,112.000000000001,221.00000000013776

host_data_perc,tpu_comms_perc,tpu_data_perc,inference_perc,total_perc
12.241475684735041,49.97205142537341,37.786472889891556,49.97205142537341,100

first_edge
mean,stddev,median
3226.170500056469,3526.1993893903555,3226.170500056469

edge
mean,stddev,median
923.6387500095589,1734.946758779475,306.1070001422195

cpu
mean,stddev,median
24.13687077932991,4.770784091622115,23.02799839526415

