add,Desktop(CPU + GPU),float,1,0.0024141764304868307,154.95869093576155
add,Desktop(CPU + GPU),float,2,0.001695790791849697,154.84920199926574
add,Desktop(CPU + GPU),float,3,0.002096011526134256,168.48722606168263
add,Desktop(CPU + GPU),float,4,0.0017137387806920176,167.97643612266035
add,Desktop(CPU + GPU),float,5,0.0017837596414893575,168.9205678615395
add,Desktop(CPU + GPU),float,6,0.002250871178110847,171.7288026692677
add,Desktop(CPU + GPU),float,7,0.0016264793871341922,171.34764814493113
add,Desktop(CPU + GPU),float,8,0.0018899166638053355,171.72832181308334
add,Desktop(CPU + GPU),float,9,0.001881128859514731,171.52359024804338
add,Desktop(CPU + GPU),float,10,0.0021527631320063167,174.12684304012095
add,Desktop(CPU + GPU),float,11,0.0018347314759850075,169.72731751965784
add,Desktop(CPU + GPU),float,12,0.0025817955617228883,161.88344874269714
conv2d,Desktop(CPU + GPU),float,1,0.0025344851797035606,280.9248519569282
conv2d,Desktop(CPU + GPU),float,2,0.00010030395242113061,250.79064112513905
conv2d,Desktop(CPU + GPU),float,3,0.00023364582512871537,267.45869830768777
conv2d,Desktop(CPU + GPU),float,4,0.00014302472383922904,289.39353627900766
conv2d,Desktop(CPU + GPU),float,5,0.00019484122171619994,285.0711495252094
conv2d,Desktop(CPU + GPU),float,6,0.0002030523034727283,275.58250260390423
conv2d,Desktop(CPU + GPU),float,7,0.00017142337618369918,282.0855335653559
conv2d,Desktop(CPU + GPU),float,8,0.0001245389326537394,275.2848714880862
conv2d,Desktop(CPU + GPU),float,9,0.0002486275750606115,273.5981250224348
conv2d,Desktop(CPU + GPU),float,10,2.1615369606404238e-05,293.7924000997638
conv2d,Desktop(CPU + GPU),float,11,0.00010397296423603208,284.4574980711936
conv2d,Desktop(CPU + GPU),float,12,0.00017385870861329786,273.6705342138241
depthwiseconv2d,Desktop(CPU + GPU),float,1,0.0025833398046706257,215.54181273215306
depthwiseconv2d,Desktop(CPU + GPU),float,2,0.0003063959002011182,165.95953203169594
depthwiseconv2d,Desktop(CPU + GPU),float,3,0.0002901714040547695,197.1700275289768
depthwiseconv2d,Desktop(CPU + GPU),float,4,0.00024042131560291503,206.50082547481495
depthwiseconv2d,Desktop(CPU + GPU),float,5,0.000248115032385976,208.0717253608249
depthwiseconv2d,Desktop(CPU + GPU),float,6,0.0002625724554201625,219.343065740028
depthwiseconv2d,Desktop(CPU + GPU),float,7,0.00017532821663746034,215.57510319545997
depthwiseconv2d,Desktop(CPU + GPU),float,8,0.00018320926416681704,218.0272348296085
depthwiseconv2d,Desktop(CPU + GPU),float,9,0.00021119241263513043,207.4307868252145
depthwiseconv2d,Desktop(CPU + GPU),float,10,0.00018745694455022326,207.87951323522395
depthwiseconv2d,Desktop(CPU + GPU),float,11,8.284757167751022e-05,209.32092729137784
depthwiseconv2d,Desktop(CPU + GPU),float,12,8.589363621688659e-05,217.2310547610287
maximum,Desktop(CPU + GPU),float,1,0.0025834097148984547,139.58309096217977
maximum,Desktop(CPU + GPU),float,2,0.0022951199210044355,126.75674738493302
maximum,Desktop(CPU + GPU),float,3,0.002392039634087073,151.3416363135002
maximum,Desktop(CPU + GPU),float,4,0.0024055565323818995,147.35958079135233
maximum,Desktop(CPU + GPU),float,5,0.002344458681704076,149.1171829044004
maximum,Desktop(CPU + GPU),float,6,0.002421810611811348,153.1992781187639
maximum,Desktop(CPU + GPU),float,7,0.0024569346122900065,153.13224478889458
maximum,Desktop(CPU + GPU),float,8,0.002374477373250139,151.39770418381056
maximum,Desktop(CPU + GPU),float,9,0.002389431044566667,156.03414316972137
maximum,Desktop(CPU + GPU),float,10,0.002470109908425444,147.70673707728247
maximum,Desktop(CPU + GPU),float,11,0.0023841175493746953,154.15455985391904
maximum,Desktop(CPU + GPU),float,12,0.0024516613082552485,154.0627729728468
maximum,Desktop(CPU + GPU),int32,1,0.0017491259539508253,25.798804709129584
maximum,Desktop(CPU + GPU),int32,2,0.0012998847265727198,76.98052509514979
maximum,Desktop(CPU + GPU),int32,3,0.001067438827949685,88.50930873904959
maximum,Desktop(CPU + GPU),int32,4,0.001144373390397746,81.24082362550662
maximum,Desktop(CPU + GPU),int32,5,0.0010809557451020302,74.6442487911618
maximum,Desktop(CPU + GPU),int32,6,0.001019087822106798,73.71349947669104
maximum,Desktop(CPU + GPU),int32,7,0.000952322423747128,78.94901164661042
maximum,Desktop(CPU + GPU),int32,8,0.0009111172472920676,86.16764002334628
maximum,Desktop(CPU + GPU),int32,9,0.0009734476984923385,75.90960564220522
maximum,Desktop(CPU + GPU),int32,10,0.0009836803271150696,79.27517685389638
maximum,Desktop(CPU + GPU),int32,11,0.0009611299451319777,82.19829733178089
maximum,Desktop(CPU + GPU),int32,12,0.0010040406142577396,82.96391992787763
relu,Desktop(CPU + GPU),float,1,0.002551112463299643,132.14529861419234
relu,Desktop(CPU + GPU),float,2,0.002209045640895857,131.07431498166324
relu,Desktop(CPU + GPU),float,3,0.0024128687091390377,136.38970128293025
relu,Desktop(CPU + GPU),float,4,0.0023142812695984283,143.85164815356973
relu,Desktop(CPU + GPU),float,5,0.0022937477231308677,158.40857805578338
relu,Desktop(CPU + GPU),float,6,0.0024208762466905605,146.37200628324163
relu,Desktop(CPU + GPU),float,7,0.0023896200402620934,147.84638079083285
relu,Desktop(CPU + GPU),float,8,0.002481363900801051,146.82850407948644
relu,Desktop(CPU + GPU),float,9,0.0023460975304631093,152.70268125319205
relu,Desktop(CPU + GPU),float,10,0.0023869384288767994,156.91021970052725
