,Hardware,Unnamed: 0,benchmark_name,count,extra_time_to_execute(us),inference_time(us),input_shape,input_type,num_of_batches,num_of_channels,num_threads
2227,NCS2,2227.0,graphadd_40_float_f,50,2150.0,40.0,"40,40",float,1,3,7
2228,coral edgetpu,2228.0,graphadd_40_float_f,3071,0.0,312.877,"40,40",uint8,1,3,7
2229,Desktop(CPU + GPU),2229.0,graphadd_40_float_f,50,0.0,182.68,"40,40",float,1,3,8
2230,NCS2,2230.0,graphadd_40_float_f,50,2170.0,70.0,"40,40",float,1,3,8
2231,coral edgetpu,2231.0,graphadd_40_float_f,3081,0.0,310.069,"40,40",uint8,1,3,8
2232,Desktop(CPU + GPU),2232.0,graphadd_40_float_f,50,0.0,183.32,"40,40",float,1,3,9
2233,NCS2,2233.0,graphadd_40_float_f,50,2230.0,50.0,"40,40",float,1,3,9
2234,coral edgetpu,2234.0,graphadd_40_float_f,3061,0.0,311.574,"40,40",uint8,1,3,9
2235,Desktop(CPU + GPU),2235.0,graphadd_40_float_f,50,0.0,163.42,"40,40",float,1,3,10
2236,NCS2,2236.0,graphadd_40_float_f,50,2090.0,50.0,"40,40",float,1,3,10
2237,coral edgetpu,2237.0,graphadd_40_float_f,3092,0.0,308.802,"40,40",uint8,1,3,10
2238,Desktop(CPU + GPU),2238.0,graphadd_40_float_f,50,0.0,166.92,"40,40",float,1,3,11
2239,NCS2,2239.0,graphadd_40_float_f,50,2260.0,60.0,"40,40",float,1,3,11
2240,coral edgetpu,2240.0,graphadd_40_float_f,3120,0.0,306.584,"40,40",uint8,1,3,11
2241,Desktop(CPU + GPU),2241.0,graphadd_40_float_f,50,0.0,178.52,"40,40",float,1,3,12
2242,NCS2,2242.0,graphadd_40_float_f,50,2230.0,80.0,"40,40",float,1,3,12
2243,coral edgetpu,2243.0,graphadd_40_float_f,3144,0.0,305.439,"40,40",uint8,1,3,12
2244,Desktop(CPU + GPU),2244.0,graphdepthwiseconv2d_f,50,0.0,333.34,"224,224",float,1,3,1
2245,Desktop(CPU + GPU),2245.0,graphdepthwiseconv2d_f,50,0.0,168.94,"224,224",float,1,3,2
2246,Desktop(CPU + GPU),2246.0,graphdepthwiseconv2d_f,50,0.0,209.3,"224,224",float,1,3,3
2247,Desktop(CPU + GPU),2247.0,graphdepthwiseconv2d_f,50,0.0,226.62,"224,224",float,1,3,4
2248,Desktop(CPU + GPU),2248.0,graphdepthwiseconv2d_f,50,0.0,195.12,"224,224",float,1,3,5
2249,Desktop(CPU + GPU),2249.0,graphdepthwiseconv2d_f,50,0.0,271.22,"224,224",float,1,3,6
2250,Desktop(CPU + GPU),2250.0,graphdepthwiseconv2d_f,50,0.0,247.68,"224,224",float,1,3,7
2251,Desktop(CPU + GPU),2251.0,graphdepthwiseconv2d_f,50,0.0,235.92,"224,224",float,1,3,8
2252,Desktop(CPU + GPU),2252.0,graphdepthwiseconv2d_f,50,0.0,220.88,"224,224",float,1,3,9
2253,Desktop(CPU + GPU),2253.0,graphdepthwiseconv2d_f,50,0.0,255.26,"224,224",float,1,3,10
2254,Desktop(CPU + GPU),2254.0,graphdepthwiseconv2d_f,50,0.0,206.92,"224,224",float,1,3,11
2255,Desktop(CPU + GPU),2255.0,graphdepthwiseconv2d_f,50,0.0,227.92,"224,224",float,1,3,12
2256,Desktop(CPU + GPU),2256.0,graphadd_50_float_f,50,0.0,164.22,"50,50",float,1,3,1
2257,NCS2,2257.0,graphadd_50_float_f,50,2450.0,60.0,"50,50",float,1,3,1
2258,coral edgetpu,2258.0,graphadd_50_float_f,2398,0.0,400.905,"50,50",uint8,1,3,1
2259,Desktop(CPU + GPU),2259.0,graphadd_50_float_f,50,0.0,216.04,"50,50",float,1,3,2
2260,NCS2,2260.0,graphadd_50_float_f,50,2760.0,90.0,"50,50",float,1,3,2
2261,coral edgetpu,2261.0,graphadd_50_float_f,2422,0.0,397.51,"50,50",uint8,1,3,2
2262,Desktop(CPU + GPU),2262.0,graphadd_50_float_f,50,0.0,197.34,"50,50",float,1,3,3
2263,NCS2,2263.0,graphadd_50_float_f,50,2410.0,60.0,"50,50",float,1,3,3
2264,coral edgetpu,2264.0,graphadd_50_float_f,2331,0.0,412.085,"50,50",uint8,1,3,3
2265,Desktop(CPU + GPU),2265.0,graphadd_50_float_f,50,0.0,171.2,"50,50",float,1,3,4
2266,NCS2,2266.0,graphadd_50_float_f,50,2350.0,70.0,"50,50",float,1,3,4
2267,coral edgetpu,2267.0,graphadd_50_float_f,2399,0.0,401.349,"50,50",uint8,1,3,4
2268,Desktop(CPU + GPU),2268.0,graphadd_50_float_f,50,0.0,185.3,"50,50",float,1,3,5
2269,NCS2,2269.0,graphadd_50_float_f,50,2310.0,80.0,"50,50",float,1,3,5
2270,coral edgetpu,2270.0,graphadd_50_float_f,2265,0.0,424.559,"50,50",uint8,1,3,5
2271,Desktop(CPU + GPU),2271.0,graphadd_50_float_f,50,0.0,185.26,"50,50",float,1,3,6
2272,NCS2,2272.0,graphadd_50_float_f,50,2470.0,30.0,"50,50",float,1,3,6
2273,coral edgetpu,2273.0,graphadd_50_float_f,2269,0.0,422.961,"50,50",uint8,1,3,6
2274,Desktop(CPU + GPU),2274.0,graphadd_50_float_f,50,0.0,190.98,"50,50",float,1,3,7
2275,NCS2,2275.0,graphadd_50_float_f,50,2430.0,40.0,"50,50",float,1,3,7
2276,coral edgetpu,2276.0,graphadd_50_float_f,2263,0.0,424.705,"50,50",uint8,1,3,7
2277,Desktop(CPU + GPU),2277.0,graphadd_50_float_f,50,0.0,155.42,"50,50",float,1,3,8
2278,NCS2,2278.0,graphadd_50_float_f,50,2460.0,70.0,"50,50",float,1,3,8
2279,coral edgetpu,2279.0,graphadd_50_float_f,2249,0.0,426.774,"50,50",uint8,1,3,8
2280,Desktop(CPU + GPU),2280.0,graphadd_50_float_f,50,0.0,200.2,"50,50",float,1,3,9
2281,NCS2,2281.0,graphadd_50_float_f,50,2470.0,50.0,"50,50",float,1,3,9
2282,coral edgetpu,2282.0,graphadd_50_float_f,2304,0.0,417.45,"50,50",uint8,1,3,9
2283,Desktop(CPU + GPU),2283.0,graphadd_50_float_f,50,0.0,203.76,"50,50",float,1,3,10
2284,NCS2,2284.0,graphadd_50_float_f,50,2430.0,50.0,"50,50",float,1,3,10
2285,coral edgetpu,2285.0,graphadd_50_float_f,2388,0.0,402.79,"50,50",uint8,1,3,10
2286,Desktop(CPU + GPU),2286.0,graphadd_50_float_f,50,0.0,166.1,"50,50",float,1,3,11
2287,NCS2,2287.0,graphadd_50_float_f,50,2470.0,50.0,"50,50",float,1,3,11
2288,coral edgetpu,2288.0,graphadd_50_float_f,2273,0.0,423.159,"50,50",uint8,1,3,11
2289,Desktop(CPU + GPU),2289.0,graphadd_50_float_f,50,0.0,170.2,"50,50",float,1,3,12
2290,NCS2,2290.0,graphadd_50_float_f,50,2490.0,60.0,"50,50",float,1,3,12
2291,coral edgetpu,2291.0,graphadd_50_float_f,2299,0.0,418.483,"50,50",uint8,1,3,12
2292,Desktop(CPU + GPU),2292.0,graphdepthwiseconv2d_f,50,0.0,444.78,"300,300",float,1,3,1
2293,Desktop(CPU + GPU),2293.0,graphdepthwiseconv2d_f,50,0.0,196.5,"300,300",float,1,3,2
2294,Desktop(CPU + GPU),2294.0,graphdepthwiseconv2d_f,50,0.0,233.9,"300,300",float,1,3,3
2295,Desktop(CPU + GPU),2295.0,graphdepthwiseconv2d_f,50,0.0,245.24,"300,300",float,1,3,4
2296,Desktop(CPU + GPU),2296.0,graphdepthwiseconv2d_f,50,0.0,240.98,"300,300",float,1,3,5
2297,Desktop(CPU + GPU),2297.0,graphdepthwiseconv2d_f,50,0.0,259.84,"300,300",float,1,3,6
2298,Desktop(CPU + GPU),2298.0,graphdepthwiseconv2d_f,50,0.0,234.44,"300,300",float,1,3,7
2299,Desktop(CPU + GPU),2299.0,graphdepthwiseconv2d_f,50,0.0,216.76,"300,300",float,1,3,8
2300,Desktop(CPU + GPU),2300.0,graphdepthwiseconv2d_f,50,0.0,247.8,"300,300",float,1,3,9
2301,Desktop(CPU + GPU),2301.0,graphdepthwiseconv2d_f,50,0.0,224.86,"300,300",float,1,3,10
2302,Desktop(CPU + GPU),2302.0,graphdepthwiseconv2d_f,50,0.0,223.66,"300,300",float,1,3,11
2303,Desktop(CPU + GPU),2303.0,graphdepthwiseconv2d_f,50,0.0,228.02,"300,300",float,1,3,12
2304,Desktop(CPU + GPU),2304.0,graphadd_60_float_f,50,0.0,163.66,"60,60",float,1,3,1
2305,NCS2,2305.0,graphadd_60_float_f,50,2910.0,80.0,"60,60",float,1,3,1
2306,coral edgetpu,2306.0,graphadd_60_float_f,2078,0.0,463.49699999999996,"60,60",uint8,1,3,1
2307,Desktop(CPU + GPU),2307.0,graphadd_60_float_f,50,0.0,140.92,"60,60",float,1,3,2
2308,NCS2,2308.0,graphadd_60_float_f,50,2730.0,70.0,"60,60",float,1,3,2
2309,coral edgetpu,2309.0,graphadd_60_float_f,2056,0.0,468.54,"60,60",uint8,1,3,2
2310,Desktop(CPU + GPU),2310.0,graphadd_60_float_f,50,0.0,171.22,"60,60",float,1,3,3
2311,NCS2,2311.0,graphadd_60_float_f,50,2770.0,60.0,"60,60",float,1,3,3
2312,coral edgetpu,2312.0,graphadd_60_float_f,2028,0.0,475.74699999999996,"60,60",uint8,1,3,3
2313,Desktop(CPU + GPU),2313.0,graphadd_60_float_f,50,0.0,172.02,"60,60",float,1,3,4
2314,NCS2,2314.0,graphadd_60_float_f,50,2720.0,80.0,"60,60",float,1,3,4
2315,coral edgetpu,2315.0,graphadd_60_float_f,2122,0.0,454.283,"60,60",uint8,1,3,4
2316,Desktop(CPU + GPU),2316.0,graphadd_60_float_f,50,0.0,168.68,"60,60",float,1,3,5
2317,NCS2,2317.0,graphadd_60_float_f,50,2900.0,90.0,"60,60",float,1,3,5
2318,coral edgetpu,2318.0,graphadd_60_float_f,2033,0.0,473.82800000000003,"60,60",uint8,1,3,5
2319,Desktop(CPU + GPU),2319.0,graphadd_60_float_f,50,0.0,189.92,"60,60",float,1,3,6
2320,NCS2,2320.0,graphadd_60_float_f,50,2900.0,80.0,"60,60",float,1,3,6
2321,coral edgetpu,2321.0,graphadd_60_float_f,2075,0.0,464.43,"60,60",uint8,1,3,6
2322,Desktop(CPU + GPU),2322.0,graphadd_60_float_f,50,0.0,156.16,"60,60",float,1,3,7
2323,NCS2,2323.0,graphadd_60_float_f,50,2700.0,80.0,"60,60",float,1,3,7
2324,coral edgetpu,2324.0,graphadd_60_float_f,2076,0.0,464.45300000000003,"60,60",uint8,1,3,7
2325,Desktop(CPU + GPU),2325.0,graphadd_60_float_f,50,0.0,175.6,"60,60",float,1,3,8
2326,NCS2,2326.0,graphadd_60_float_f,50,2760.0,40.0,"60,60",float,1,3,8
2327,coral edgetpu,2327.0,graphadd_60_float_f,2013,0.0,478.375,"60,60",uint8,1,3,8
2328,Desktop(CPU + GPU),2328.0,graphadd_60_float_f,50,0.0,177.44,"60,60",float,1,3,9
2329,NCS2,2329.0,graphadd_60_float_f,50,2770.0,50.0,"60,60",float,1,3,9
2330,coral edgetpu,2330.0,graphadd_60_float_f,2010,0.0,479.901,"60,60",uint8,1,3,9
2331,Desktop(CPU + GPU),2331.0,graphadd_60_float_f,50,0.0,176.32,"60,60",float,1,3,10
2332,NCS2,2332.0,graphadd_60_float_f,50,3200.0,110.0,"60,60",float,1,3,10
2333,coral edgetpu,2333.0,graphadd_60_float_f,2008,0.0,480.041,"60,60",uint8,1,3,10
2334,Desktop(CPU + GPU),2334.0,graphadd_60_float_f,50,0.0,170.88,"60,60",float,1,3,11
2335,NCS2,2335.0,graphadd_60_float_f,50,3020.0,60.0,"60,60",float,1,3,11
2336,coral edgetpu,2336.0,graphadd_60_float_f,2045,0.0,471.629,"60,60",uint8,1,3,11
2337,Desktop(CPU + GPU),2337.0,graphadd_60_float_f,50,0.0,171.4,"60,60",float,1,3,12
2338,NCS2,2338.0,graphadd_60_float_f,50,2870.0,120.0,"60,60",float,1,3,12
2339,coral edgetpu,2339.0,graphadd_60_float_f,2085,0.0,462.519,"60,60",uint8,1,3,12
2340,Desktop(CPU + GPU),2340.0,graphdepthwiseconv2d_f,50,0.0,554.28,"400,400",float,1,3,1
2341,Desktop(CPU + GPU),2341.0,graphdepthwiseconv2d_f,50,0.0,173.68,"400,400",float,1,3,2
2342,Desktop(CPU + GPU),2342.0,graphdepthwiseconv2d_f,50,0.0,258.58,"400,400",float,1,3,3
2343,Desktop(CPU + GPU),2343.0,graphdepthwiseconv2d_f,50,0.0,270.78,"400,400",float,1,3,4
2344,Desktop(CPU + GPU),2344.0,graphdepthwiseconv2d_f,50,0.0,270.76,"400,400",float,1,3,5
2345,Desktop(CPU + GPU),2345.0,graphdepthwiseconv2d_f,50,0.0,233.24,"400,400",float,1,3,6
2346,Desktop(CPU + GPU),2346.0,graphdepthwiseconv2d_f,50,0.0,278.6,"400,400",float,1,3,7
2347,Desktop(CPU + GPU),2347.0,graphdepthwiseconv2d_f,50,0.0,313.46,"400,400",float,1,3,8
2348,Desktop(CPU + GPU),2348.0,graphdepthwiseconv2d_f,50,0.0,235.72,"400,400",float,1,3,9
2349,Desktop(CPU + GPU),2349.0,graphdepthwiseconv2d_f,50,0.0,221.86,"400,400",float,1,3,10
2350,Desktop(CPU + GPU),2350.0,graphdepthwiseconv2d_f,50,0.0,214.08,"400,400",float,1,3,11
2351,Desktop(CPU + GPU),2351.0,graphdepthwiseconv2d_f,50,0.0,296.08,"400,400",float,1,3,12
2352,Desktop(CPU + GPU),2352.0,graphadd_70_float_f,50,0.0,162.78,"70,70",float,1,3,1
2353,NCS2,2353.0,graphadd_70_float_f,50,3080.0,60.0,"70,70",float,1,3,1
2354,coral edgetpu,2354.0,graphadd_70_float_f,1623,0.0,597.423,"70,70",uint8,1,3,1
2355,Desktop(CPU + GPU),2355.0,graphadd_70_float_f,50,0.0,153.9,"70,70",float,1,3,2
2356,NCS2,2356.0,graphadd_70_float_f,50,3130.0,70.0,"70,70",float,1,3,2
2357,coral edgetpu,2357.0,graphadd_70_float_f,1657,0.0,585.396,"70,70",uint8,1,3,2
2358,Desktop(CPU + GPU),2358.0,graphadd_70_float_f,50,0.0,181.82,"70,70",float,1,3,3
2359,NCS2,2359.0,graphadd_70_float_f,50,3290.0,80.0,"70,70",float,1,3,3
2360,coral edgetpu,2360.0,graphadd_70_float_f,1635,0.0,592.629,"70,70",uint8,1,3,3
2361,Desktop(CPU + GPU),2361.0,graphadd_70_float_f,50,0.0,172.04,"70,70",float,1,3,4
2362,NCS2,2362.0,graphadd_70_float_f,50,3270.0,80.0,"70,70",float,1,3,4
2363,coral edgetpu,2363.0,graphadd_70_float_f,1666,0.0,582.361,"70,70",uint8,1,3,4
2364,Desktop(CPU + GPU),2364.0,graphadd_70_float_f,50,0.0,189.12,"70,70",float,1,3,5
2365,NCS2,2365.0,graphadd_70_float_f,50,3090.0,70.0,"70,70",float,1,3,5
2366,coral edgetpu,2366.0,graphadd_70_float_f,1694,0.0,571.448,"70,70",uint8,1,3,5
2367,Desktop(CPU + GPU),2367.0,graphadd_70_float_f,50,0.0,201.4,"70,70",float,1,3,6
2368,NCS2,2368.0,graphadd_70_float_f,50,3530.0,80.0,"70,70",float,1,3,6
2369,coral edgetpu,2369.0,graphadd_70_float_f,1647,0.0,588.248,"70,70",uint8,1,3,6
2370,Desktop(CPU + GPU),2370.0,graphadd_70_float_f,50,0.0,155.36,"70,70",float,1,3,7
2371,NCS2,2371.0,graphadd_70_float_f,50,3680.0,90.0,"70,70",float,1,3,7
2372,coral edgetpu,2372.0,graphadd_70_float_f,1630,0.0,594.883,"70,70",uint8,1,3,7
2373,Desktop(CPU + GPU),2373.0,graphadd_70_float_f,50,0.0,203.74,"70,70",float,1,3,8
2374,NCS2,2374.0,graphadd_70_float_f,50,3300.0,100.0,"70,70",float,1,3,8
2375,coral edgetpu,2375.0,graphadd_70_float_f,1655,0.0,585.6080000000001,"70,70",uint8,1,3,8
2376,Desktop(CPU + GPU),2376.0,graphadd_70_float_f,50,0.0,188.92,"70,70",float,1,3,9
2377,NCS2,2377.0,graphadd_70_float_f,50,3240.0,50.0,"70,70",float,1,3,9
2378,coral edgetpu,2378.0,graphadd_70_float_f,1705,0.0,569.554,"70,70",uint8,1,3,9
2379,Desktop(CPU + GPU),2379.0,graphadd_70_float_f,50,0.0,207.88,"70,70",float,1,3,10
2380,NCS2,2380.0,graphadd_70_float_f,50,3040.0,80.0,"70,70",float,1,3,10
2381,coral edgetpu,2381.0,graphadd_70_float_f,1654,0.0,586.379,"70,70",uint8,1,3,10
2382,Desktop(CPU + GPU),2382.0,graphadd_70_float_f,50,0.0,156.16,"70,70",float,1,3,11
2383,NCS2,2383.0,graphadd_70_float_f,50,3050.0,60.0,"70,70",float,1,3,11
2384,coral edgetpu,2384.0,graphadd_70_float_f,1649,0.0,589.9580000000001,"70,70",uint8,1,3,11
2385,Desktop(CPU + GPU),2385.0,graphadd_70_float_f,50,0.0,163.32,"70,70",float,1,3,12
2386,NCS2,2386.0,graphadd_70_float_f,50,3190.0,60.0,"70,70",float,1,3,12
2387,coral edgetpu,2387.0,graphadd_70_float_f,1625,0.0,596.742,"70,70",uint8,1,3,12
2388,Desktop(CPU + GPU),2388.0,graphdepthwiseconv2d_f,50,0.0,786.0,"500,500",float,1,3,1
2389,Desktop(CPU + GPU),2389.0,graphdepthwiseconv2d_f,50,0.0,206.8,"500,500",float,1,3,2
2390,Desktop(CPU + GPU),2390.0,graphdepthwiseconv2d_f,50,0.0,278.02,"500,500",float,1,3,3
2391,Desktop(CPU + GPU),2391.0,graphdepthwiseconv2d_f,50,0.0,288.2,"500,500",float,1,3,4
2392,Desktop(CPU + GPU),2392.0,graphdepthwiseconv2d_f,50,0.0,227.04,"500,500",float,1,3,5
2393,Desktop(CPU + GPU),2393.0,graphdepthwiseconv2d_f,50,0.0,268.48,"500,500",float,1,3,6
2394,Desktop(CPU + GPU),2394.0,graphdepthwiseconv2d_f,50,0.0,298.68,"500,500",float,1,3,7
2395,Desktop(CPU + GPU),2395.0,graphdepthwiseconv2d_f,50,0.0,254.3,"500,500",float,1,3,8
2396,Desktop(CPU + GPU),2396.0,graphdepthwiseconv2d_f,50,0.0,253.96,"500,500",float,1,3,9
2397,Desktop(CPU + GPU),2397.0,graphdepthwiseconv2d_f,50,0.0,304.36,"500,500",float,1,3,10
2398,Desktop(CPU + GPU),2398.0,graphdepthwiseconv2d_f,50,0.0,290.82,"500,500",float,1,3,11
2399,Desktop(CPU + GPU),2399.0,graphdepthwiseconv2d_f,50,0.0,232.2,"500,500",float,1,3,12
2400,Desktop(CPU + GPU),2400.0,graphadd_80_float_f,50,0.0,169.88,"80,80",float,1,3,1
2401,NCS2,2401.0,graphadd_80_float_f,50,3650.0,80.0,"80,80",float,1,3,1
2402,coral edgetpu,2402.0,graphadd_80_float_f,1528,0.0,635.87,"80,80",uint8,1,3,1
2403,Desktop(CPU + GPU),2403.0,graphadd_80_float_f,50,0.0,153.6,"80,80",float,1,3,2
2404,NCS2,2404.0,graphadd_80_float_f,50,3580.0,70.0,"80,80",float,1,3,2
2405,coral edgetpu,2405.0,graphadd_80_float_f,1560,0.0,622.1990000000001,"80,80",uint8,1,3,2
2406,Desktop(CPU + GPU),2406.0,graphadd_80_float_f,50,0.0,192.74,"80,80",float,1,3,3
2407,NCS2,2407.0,graphadd_80_float_f,50,3510.0,70.0,"80,80",float,1,3,3
2408,coral edgetpu,2408.0,graphadd_80_float_f,1540,0.0,629.4730000000001,"80,80",uint8,1,3,3
2409,Desktop(CPU + GPU),2409.0,graphadd_80_float_f,50,0.0,192.46,"80,80",float,1,3,4
2410,NCS2,2410.0,graphadd_80_float_f,50,3560.0,80.0,"80,80",float,1,3,4
2411,coral edgetpu,2411.0,graphadd_80_float_f,1518,0.0,639.6030000000001,"80,80",uint8,1,3,4
2412,Desktop(CPU + GPU),2412.0,graphadd_80_float_f,50,0.0,160.14,"80,80",float,1,3,5
2413,NCS2,2413.0,graphadd_80_float_f,50,3550.0,70.0,"80,80",float,1,3,5
2414,coral edgetpu,2414.0,graphadd_80_float_f,1533,0.0,632.68,"80,80",uint8,1,3,5
2415,Desktop(CPU + GPU),2415.0,graphadd_80_float_f,50,0.0,165.92,"80,80",float,1,3,6
2416,NCS2,2416.0,graphadd_80_float_f,50,3960.0,80.0,"80,80",float,1,3,6
2417,coral edgetpu,2417.0,graphadd_80_float_f,1545,0.0,628.99,"80,80",uint8,1,3,6
2418,Desktop(CPU + GPU),2418.0,graphadd_80_float_f,50,0.0,191.18,"80,80",float,1,3,7
2419,NCS2,2419.0,graphadd_80_float_f,50,3840.0,110.0,"80,80",float,1,3,7
2420,coral edgetpu,2420.0,graphadd_80_float_f,1525,0.0,636.592,"80,80",uint8,1,3,7
2421,Desktop(CPU + GPU),2421.0,graphadd_80_float_f,50,0.0,179.66,"80,80",float,1,3,8
2422,NCS2,2422.0,graphadd_80_float_f,50,3710.0,90.0,"80,80",float,1,3,8
2423,coral edgetpu,2423.0,graphadd_80_float_f,1487,0.0,652.479,"80,80",uint8,1,3,8
2424,Desktop(CPU + GPU),2424.0,graphadd_80_float_f,50,0.0,154.74,"80,80",float,1,3,9
2425,NCS2,2425.0,graphadd_80_float_f,50,3460.0,90.0,"80,80",float,1,3,9
2426,coral edgetpu,2426.0,graphadd_80_float_f,1530,0.0,633.859,"80,80",uint8,1,3,9
2427,Desktop(CPU + GPU),2427.0,graphadd_80_float_f,50,0.0,176.88,"80,80",float,1,3,10
2428,NCS2,2428.0,graphadd_80_float_f,50,3790.0,100.0,"80,80",float,1,3,10
2429,coral edgetpu,2429.0,graphadd_80_float_f,1566,0.0,618.4540000000001,"80,80",uint8,1,3,10
2430,Desktop(CPU + GPU),2430.0,graphadd_80_float_f,50,0.0,216.86,"80,80",float,1,3,11
2431,NCS2,2431.0,graphadd_80_float_f,50,3750.0,60.0,"80,80",float,1,3,11
2432,coral edgetpu,2432.0,graphadd_80_float_f,1521,0.0,638.0509999999999,"80,80",uint8,1,3,11
2433,Desktop(CPU + GPU),2433.0,graphadd_80_float_f,50,0.0,183.08,"80,80",float,1,3,12
2434,NCS2,2434.0,graphadd_80_float_f,50,3630.0,60.0,"80,80",float,1,3,12
2435,coral edgetpu,2435.0,graphadd_80_float_f,1533,0.0,632.187,"80,80",uint8,1,3,12
2436,Desktop(CPU + GPU),2436.0,graphdepthwiseconv2d_f,50,0.0,1122.34,"600,600",float,1,3,1
2437,Desktop(CPU + GPU),2437.0,graphdepthwiseconv2d_f,50,0.0,200.34,"600,600",float,1,3,2
2438,Desktop(CPU + GPU),2438.0,graphdepthwiseconv2d_f,50,0.0,317.92,"600,600",float,1,3,3
2439,Desktop(CPU + GPU),2439.0,graphdepthwiseconv2d_f,50,0.0,255.56,"600,600",float,1,3,4
2440,Desktop(CPU + GPU),2440.0,graphdepthwiseconv2d_f,50,0.0,304.8,"600,600",float,1,3,5
2441,Desktop(CPU + GPU),2441.0,graphdepthwiseconv2d_f,50,0.0,248.26,"600,600",float,1,3,6
2442,Desktop(CPU + GPU),2442.0,graphdepthwiseconv2d_f,50,0.0,245.6,"600,600",float,1,3,7
2443,Desktop(CPU + GPU),2443.0,graphdepthwiseconv2d_f,50,0.0,370.54,"600,600",float,1,3,8
2444,Desktop(CPU + GPU),2444.0,graphdepthwiseconv2d_f,50,0.0,281.14,"600,600",float,1,3,9
2445,Desktop(CPU + GPU),2445.0,graphdepthwiseconv2d_f,50,0.0,303.52,"600,600",float,1,3,10
2446,Desktop(CPU + GPU),2446.0,graphdepthwiseconv2d_f,50,0.0,288.8,"600,600",float,1,3,11
2447,Desktop(CPU + GPU),2447.0,graphdepthwiseconv2d_f,50,0.0,333.44,"600,600",float,1,3,12
2448,Desktop(CPU + GPU),2448.0,graphadd_90_float_f,50,0.0,175.3,"90,90",float,1,3,1
2449,NCS2,2449.0,graphadd_90_float_f,50,4140.0,110.0,"90,90",float,1,3,1
2450,coral edgetpu,2450.0,graphadd_90_float_f,1206,0.0,810.4639999999999,"90,90",uint8,1,3,1
2451,Desktop(CPU + GPU),2451.0,graphadd_90_float_f,50,0.0,165.32,"90,90",float,1,3,2
2452,NCS2,2452.0,graphadd_90_float_f,50,4240.0,100.0,"90,90",float,1,3,2
2453,coral edgetpu,2453.0,graphadd_90_float_f,1221,0.0,800.8580000000001,"90,90",uint8,1,3,2
2454,Desktop(CPU + GPU),2454.0,graphadd_90_float_f,50,0.0,194.48,"90,90",float,1,3,3
2455,NCS2,2455.0,graphadd_90_float_f,50,4100.0,70.0,"90,90",float,1,3,3
2456,coral edgetpu,2456.0,graphadd_90_float_f,1199,0.0,816.4580000000001,"90,90",uint8,1,3,3
2457,Desktop(CPU + GPU),2457.0,graphadd_90_float_f,50,0.0,173.26,"90,90",float,1,3,4
2458,NCS2,2458.0,graphadd_90_float_f,50,4280.0,80.0,"90,90",float,1,3,4
2459,coral edgetpu,2459.0,graphadd_90_float_f,1187,0.0,822.188,"90,90",uint8,1,3,4
2460,Desktop(CPU + GPU),2460.0,graphadd_90_float_f,50,0.0,185.6,"90,90",float,1,3,5
2461,NCS2,2461.0,graphadd_90_float_f,50,4020.0,110.0,"90,90",float,1,3,5
2462,coral edgetpu,2462.0,graphadd_90_float_f,1192,0.0,819.566,"90,90",uint8,1,3,5
2463,Desktop(CPU + GPU),2463.0,graphadd_90_float_f,50,0.0,198.1,"90,90",float,1,3,6
2464,NCS2,2464.0,graphadd_90_float_f,50,4110.0,90.0,"90,90",float,1,3,6
2465,coral edgetpu,2465.0,graphadd_90_float_f,1196,0.0,816.207,"90,90",uint8,1,3,6
2466,Desktop(CPU + GPU),2466.0,graphadd_90_float_f,50,0.0,200.18,"90,90",float,1,3,7
2467,NCS2,2467.0,graphadd_90_float_f,50,4060.0,80.0,"90,90",float,1,3,7
2468,coral edgetpu,2468.0,graphadd_90_float_f,1192,0.0,819.335,"90,90",uint8,1,3,7
2469,Desktop(CPU + GPU),2469.0,graphadd_90_float_f,50,0.0,192.48,"90,90",float,1,3,8
2470,NCS2,2470.0,graphadd_90_float_f,50,4190.0,90.0,"90,90",float,1,3,8
2471,coral edgetpu,2471.0,graphadd_90_float_f,1218,0.0,802.9019999999999,"90,90",uint8,1,3,8
2472,Desktop(CPU + GPU),2472.0,graphadd_90_float_f,50,0.0,175.48,"90,90",float,1,3,9
2473,NCS2,2473.0,graphadd_90_float_f,50,4300.0,100.0,"90,90",float,1,3,9
2474,coral edgetpu,2474.0,graphadd_90_float_f,1181,0.0,826.422,"90,90",uint8,1,3,9
2475,Desktop(CPU + GPU),2475.0,graphadd_90_float_f,50,0.0,207.46,"90,90",float,1,3,10
2476,NCS2,2476.0,graphadd_90_float_f,50,4310.0,90.0,"90,90",float,1,3,10
2477,coral edgetpu,2477.0,graphadd_90_float_f,1206,0.0,810.206,"90,90",uint8,1,3,10
2478,Desktop(CPU + GPU),2478.0,graphadd_90_float_f,50,0.0,191.64,"90,90",float,1,3,11
2479,NCS2,2479.0,graphadd_90_float_f,50,4090.0,110.0,"90,90",float,1,3,11
2480,coral edgetpu,2480.0,graphadd_90_float_f,1198,0.0,814.987,"90,90",uint8,1,3,11
2481,Desktop(CPU + GPU),2481.0,graphadd_90_float_f,50,0.0,200.28,"90,90",float,1,3,12
2482,NCS2,2482.0,graphadd_90_float_f,50,4080.0,100.0,"90,90",float,1,3,12
2483,coral edgetpu,2483.0,graphadd_90_float_f,1198,0.0,815.255,"90,90",uint8,1,3,12
2484,Desktop(CPU + GPU),2484.0,graphdepthwiseconv2d_f,50,0.0,1386.98,"700,700",float,1,3,1
