Host_Submission,Tpu_Comms,Tpu_Return,Inference,Total
0.0019969999999998045,4.2000000000097515e-05,0.000172000000000061,4.2000000000097515e-05,0.002210999999999963
0.004901999999999962,4.300000000001525e-05,4.599999999999049e-05,4.300000000001525e-05,0.004990999999999968
0.0005720000000000169,5.8000000000113516e-05,4.000000000115023e-06,5.8000000000113516e-05,0.0006340000000002455
0.0006779999999999564,6.700000000003925e-05,2.9999999999752447e-06,6.700000000003925e-05,0.0007479999999999709
0.00014300000000000423,5.100000000002325e-05,1.9999999998354667e-06,5.100000000002325e-05,0.00019599999999986295
0.00011700000000014477,6.799999999995698e-05,0.0008740000000000414,6.799999999995698e-05,0.0010590000000001432
0.0047200000000002795,4.899999999974369e-05,1.9999999998354667e-06,4.899999999974369e-05,0.004770999999999859
0.00019400000000002748,5.3999999999998494e-05,3.799999999998249e-05,5.3999999999998494e-05,0.00028600000000000847
0.00032499999999968665,5.200000000016303e-05,1.9999999998354667e-06,5.200000000016303e-05,0.00037899999999968514
0.007672000000000123,4.899999999996574e-05,3.700000000006476e-05,4.899999999996574e-05,0.007758000000000154
0.0004890000000001837,7.00000000000145e-05,5.999999999950489e-06,7.00000000000145e-05,0.0005650000000001487
0.0005710000000000992,7.399999999990747e-05,1.0999999999983245e-05,7.399999999990747e-05,0.0006559999999999899
0.0006150000000000322,7.099999999993223e-05,3.999999999892978e-06,7.099999999993223e-05,0.0006899999999998574
0.0003750000000000142,4.8000000000048004e-05,2.9999999999752447e-06,4.8000000000048004e-05,0.00042600000000003746
0.0004230000000000622,5.2999999999858716e-05,2.9999999999752447e-06,5.2999999999858716e-05,0.0004789999999998962
0.00012999999999996348,5.200000000016303e-05,0.00023799999999996047,5.200000000016303e-05,0.00042000000000008697
0.0005439999999998779,5.6000000000056005e-05,2.0000000000575113e-06,5.6000000000056005e-05,0.0006019999999999914
0.0006500000000002615,7.49999999998252e-05,2.000000000279556e-06,7.49999999998252e-05,0.0007270000000003662
0.000148000000000037,5.799999999989147e-05,2.0000000000575113e-06,5.799999999989147e-05,0.00020799999999998597
0.000468000000000135,5.599999999983396e-05,2.9999999999752447e-06,5.599999999983396e-05,0.0005269999999999442
