Host_Submission,Tpu_Comms,Tpu_Return,Inference,Total
0.0002460000000001905,7.199999999984996e-05,8.000000000230045e-06,7.199999999984996e-05,0.0003260000000002705
0.00020199999999981344,7.599999999996498e-05,4.000000000115023e-06,7.599999999996498e-05,0.00028199999999989345
6.700000000003925e-05,4.899999999974369e-05,2.9999999999752447e-06,4.899999999974369e-05,0.00011899999999975819
0.0004189999999999472,8.000000000008001e-05,2.9999999999752447e-06,8.000000000008001e-05,0.0005020000000000024
0.0002830000000000332,5.8000000000113516e-05,2.9999999999752447e-06,5.8000000000113516e-05,0.000344000000000122
8.199999999991547e-05,4.8000000000048004e-05,2.799999999991698e-05,4.8000000000048004e-05,0.00015799999999988046
5.500000000013827e-05,5.3999999999998494e-05,2.9999999999752447e-06,5.3999999999998494e-05,0.00011200000000011201
6.20000000000065e-05,5.3999999999998494e-05,2.9999999999752447e-06,5.3999999999998494e-05,0.00011899999999998023
8.500000000033481e-05,4.2999999999793204e-05,3.6000000000147026e-05,4.2999999999793204e-05,0.00016400000000027504
9.599999999965192e-05,5.3000000000302805e-05,2.0999999999826713e-05,5.3000000000302805e-05,0.00016999999999978144
9.399999999981645e-05,7.100000000015427e-05,2.9999999999752447e-06,7.100000000015427e-05,0.00016799999999994597
0.0001020000000000465,4.900000000018778e-05,2.9999999999752447e-06,4.900000000018778e-05,0.00015400000000020952
0.00020300000000017526,7.099999999993223e-05,5.000000000032756e-06,7.099999999993223e-05,0.00027900000000014025
0.0002340000000000675,6.499999999998174e-05,2.9999999999752447e-06,6.499999999998174e-05,0.00030200000000002447
0.00022900000000003473,6.799999999995698e-05,2.9999999999752447e-06,6.799999999995698e-05,0.00029999999999996696
0.0004770000000000607,5.100000000002325e-05,2.9999999999752447e-06,5.100000000002325e-05,0.0005310000000000592
4.099999999995774e-05,5.8999999999809205e-05,1.9999999998354667e-06,5.8999999999809205e-05,0.00010199999999960241
0.00011700000000036681,5.499999999969418e-05,1.4000000000180535e-05,5.499999999969418e-05,0.00018600000000024153
6.799999999973494e-05,3.799999999998249e-05,3.7000000000286803e-05,3.799999999998249e-05,0.00014300000000000423
0.00010799999999999699,5.699999999997374e-05,1.0000000000065512e-05,5.699999999997374e-05,0.00017500000000003624
4.099999999995774e-05,6.20000000000065e-05,9.999999999177334e-07,6.20000000000065e-05,0.00010399999999988196
3.700000000006476e-05,6.799999999995698e-05,8.000000000008e-06,6.799999999995698e-05,0.00011300000000002974
3.199999999980996e-05,6.500000000020378e-05,1.9999999998354667e-06,6.500000000020378e-05,9.899999999984921e-05
1.8000000000073513e-05,8.499999999989072e-05,9.999999999177334e-07,8.499999999989072e-05,0.00010399999999988196
0.00010099999999990672,7.599999999996498e-05,8.999999999925734e-06,7.599999999996498e-05,0.00018599999999979744
6.100000000008876e-05,5.3999999999998494e-05,2.9999999999752447e-06,5.3999999999998494e-05,0.0001180000000000625
8.300000000005525e-05,5.100000000002325e-05,2.9999999999752447e-06,5.100000000002325e-05,0.00013700000000005375
8.499999999989072e-05,6.899999999987472e-05,2.000000000279556e-06,6.899999999987472e-05,0.000156000000000045
5.3999999999998494e-05,6.399999999984196e-05,2.9999999999752447e-06,6.399999999984196e-05,0.0001209999999998157
5.300000000008076e-05,5.3999999999998494e-05,2.9999999999752447e-06,5.3999999999998494e-05,0.0001100000000000545
5.599999999983396e-05,5.500000000013827e-05,2.0000000000575113e-06,5.500000000013827e-05,0.00011300000000002974
9.799999999993148e-05,5.300000000008076e-05,2.0000000000575113e-06,5.300000000008076e-05,0.00015300000000006975
0.00011900000000020228,6.199999999978445e-05,2.9999999999752447e-06,6.199999999978445e-05,0.00018399999999996197
6.300000000036832e-05,5.2999999999858716e-05,1.9999999998354667e-06,5.2999999999858716e-05,0.0001180000000000625
5.999999999994898e-05,5.100000000002325e-05,1.9999999998354667e-06,5.100000000002325e-05,0.0001129999999998077
6.599999999989947e-05,5.3999999999998494e-05,2.000000000279556e-06,5.3999999999998494e-05,0.00012200000000017752
7.2000000000072e-05,6.499999999998174e-05,2.9999999999752447e-06,6.499999999998174e-05,0.000140000000000029
0.0002910000000000412,4.599999999999049e-05,2.9999999999752447e-06,4.599999999999049e-05,0.00034000000000000696
8.699999999994823e-05,7.900000000016227e-05,2.9999999999752447e-06,7.900000000016227e-05,0.00016900000000008575
7.099999999993223e-05,5.100000000002325e-05,2.9999999999752447e-06,5.100000000002325e-05,0.00012499999999993072
3.599999999992498e-05,6.799999999995698e-05,2.0000000000575113e-06,6.799999999995698e-05,0.00010599999999993948
3.599999999992498e-05,6.4000000000064e-05,9.999999999177334e-07,6.4000000000064e-05,0.00010099999999990672
4.4999999999850715e-05,5.699999999997374e-05,2.0000000000575113e-06,5.699999999997374e-05,0.00010399999999988196
