,task_name,task_type,task_inputs,output_tensor_shape
0,const,Const,  , (1|224|224|1)
1,b,Const,  ,  (1|224|224|1)
2,b/read,Identity,  b, (1|224|224|1)
3,c,Const,  ,  (1|224|224|1)
4,c/read,Identity,  c,  (1|224|224|1)
5,d,Add,  b/read| c/read,  (1|224|224|1)
6,e,Add,  c/read| const, (1|224|224|1)
7,output_1,Mul,  d| e,  (1|224|224|1)
