Host_Submission,Tpu_Comms,Tpu_Return,Inference,Total
3.500000000000725e-05,0.00011399999999994748,4.000000000115023e-06,0.00011399999999994748,0.00015300000000006975
7.299999999998974e-05,7.100000000015427e-05,1.9999999998354667e-06,7.100000000015427e-05,0.00014599999999997948
3.2000000000032e-05,0.00011399999999994748,4.999999999810711e-06,0.00011399999999994748,0.0001509999999997902
3.6999999999842714e-05,0.00010999999999983245,5.000000000254801e-06,0.00010999999999983245,0.00015199999999992997
7.100000000015427e-05,0.00011799999999961841,2.9999999999752447e-06,0.00011799999999961841,0.00019199999999974793
8.199999999991547e-05,7.700000000010476e-05,2.9999999999752447e-06,7.700000000010476e-05,0.00016199999999999548
5.500000000013827e-05,0.00012100000000003774,2.9999999999752447e-06,0.00012100000000003774,0.00017900000000015126
5.3999999999998494e-05,0.00011899999999975819,2.9999999999752447e-06,0.00011899999999975819,0.00017599999999973193
0.000140000000000029,0.00010900000000013677,1.9999999998354667e-06,0.00010900000000013677,0.0002510000000000012
0.0001290000000002678,0.00010799999999999699,1.9999999998354667e-06,0.00010799999999999699,0.00023900000000010024
0.00033100000000008123,9.199999999998099e-05,2.000000000279556e-06,9.199999999998099e-05,0.00042500000000034177
0.00013199999999979894,0.00010900000000013677,1.9999999998354667e-06,0.00010900000000013677,0.00024299999999977118
0.00010899999999969268,0.000124000000000013,8.000000000230045e-06,0.000124000000000013,0.0002409999999999357
8.799999999986596e-05,9.300000000012076e-05,4.999999999810711e-06,9.300000000012076e-05,0.00018599999999979744
8.100000000021979e-05,0.00010999999999983245,5.000000000254801e-06,0.00010999999999983245,0.00019600000000030704
7.50000000002693e-05,9.300000000012076e-05,5.999999999950489e-06,9.300000000012076e-05,0.00017400000000034055
6.4000000000064e-05,0.00011500000000008725,2.9999999999752447e-06,0.00011500000000008725,0.0001820000000001265
8.700000000017027e-05,0.00010799999999999699,3.9999999996709334e-06,0.00010799999999999699,0.0001989999999998382
0.0001020000000000465,0.00010699999999985721,2.9999999999752447e-06,0.00010699999999985721,0.00021199999999987895
5.699999999997374e-05,0.00010799999999999699,7.000000000090267e-06,0.00010799999999999699,0.000172000000000061
0.000128000000000128,9.099999999984121e-05,2.9999999999752447e-06,9.099999999984121e-05,0.00022199999999994446
0.00011399999999994748,6.899999999987472e-05,2.000000000279556e-06,6.899999999987472e-05,0.00018500000000010175
5.999999999994898e-05,0.0001020000000000465,2.9999999999752447e-06,0.0001020000000000465,0.00016499999999997073
5.3000000000302805e-05,0.00010099999999990672,2.9999999999752447e-06,0.00010099999999990672,0.00015700000000018477
6.899999999987472e-05,0.00010900000000013677,6.999999999646178e-06,0.00010900000000013677,0.00018499999999965766
