Host_Submission,Tpu_Comms,Tpu_Return,Inference,Total
0.0008449999999999847,4.4999999999850715e-05,3.6000000000147026e-05,4.4999999999850715e-05,0.0009259999999999824
0.0003759999999997099,6.200000000022854e-05,2.9999999999752447e-06,6.200000000022854e-05,0.0004409999999999137
0.012035999999999936,4.8000000000048004e-05,0.001906999999999881,4.8000000000048004e-05,0.013990999999999865
0.00020299999999995322,7.00000000000145e-05,5.999999999950489e-06,7.00000000000145e-05,0.0002789999999999182
0.0005969999999999587,7.00000000000145e-05,1.9999999998354667e-06,7.00000000000145e-05,0.0006689999999998086
0.00037900000000012923,5.2999999999858716e-05,1.9999999998354667e-06,5.2999999999858716e-05,0.0004339999999998234
0.00019999999999997797,5.599999999983396e-05,3.100000000011427e-05,5.599999999983396e-05,0.0002869999999999262
0.00022100000000002673,6.600000000012152e-05,1.0999999999983245e-05,6.600000000012152e-05,0.0002980000000001315
0.0004329999999999057,4.899999999996574e-05,4.000000000115023e-06,4.899999999996574e-05,0.00048599999999998644
0.0005539999999999434,6.20000000000065e-05,2.9999999999752447e-06,6.20000000000065e-05,0.0006189999999999252
0.0007509999999997241,7.299999999998974e-05,2.9999999999752447e-06,7.299999999998974e-05,0.0008269999999996891
0.0020160000000000178,6.800000000017903e-05,8.000000000008e-06,6.800000000017903e-05,0.002092000000000205
0.00047499999999978115,5.3999999999998494e-05,3.400000000031156e-05,5.3999999999998494e-05,0.0005630000000000912
0.0004269999999999552,6.700000000003925e-05,2.9999999999752447e-06,6.700000000003925e-05,0.0004969999999999697
0.0004500000000002835,6.199999999978445e-05,2.9999999999752447e-06,6.199999999978445e-05,0.0005150000000000432
0.0015650000000000386,7.899999999994023e-05,8.999999999925734e-06,7.899999999994023e-05,0.0016529999999999045
0.0016080000000000538,4.2000000000097515e-05,3.5999999999702936e-05,4.2000000000097515e-05,0.0016859999999998543
0.004614999999999814,4.8000000000048004e-05,2.9999999999752447e-06,4.8000000000048004e-05,0.004665999999999837
0.0022320000000000118,4.500000000007276e-05,1.9999999998354667e-06,4.500000000007276e-05,0.00227899999999992
0.0003709999999998992,5.199999999994098e-05,2.0000000000575113e-06,5.199999999994098e-05,0.0004249999999998977
