Host_Submission,Tpu_Comms,Tpu_Return,Inference,Total
9.700000000001374e-05,6.20000000000065e-05,2.9999999999752447e-06,6.20000000000065e-05,0.00016199999999999548
7.399999999990747e-05,5.100000000002325e-05,4.099999999995774e-05,5.100000000002325e-05,0.00016599999999988846
0.00011499999999986521,5.300000000008076e-05,4.000000000115023e-06,5.300000000008076e-05,0.000172000000000061
0.00010999999999983245,6.499999999998174e-05,3.0000000001972893e-06,6.499999999998174e-05,0.00017800000000001148
6.700000000003925e-05,6.500000000020378e-05,1.3000000000040757e-05,6.500000000020378e-05,0.0001450000000002838
7.700000000010476e-05,5.8999999999809205e-05,2.9999999999752447e-06,5.8999999999809205e-05,0.0001389999999998892
5.499999999969418e-05,6.4000000000064e-05,2.9999999999752447e-06,6.4000000000064e-05,0.00012199999999973343
6.100000000008876e-05,5.8999999999809205e-05,2.9999999999752447e-06,5.8999999999809205e-05,0.0001229999999998732
7.2000000000072e-05,4.899999999996574e-05,3.799999999998249e-05,4.899999999996574e-05,0.00015900000000002024
6.20000000000065e-05,6.299999999992423e-05,2.0000000000575113e-06,6.299999999992423e-05,0.00012699999999998823
6.20000000000065e-05,6.4000000000064e-05,2.9999999999752447e-06,6.4000000000064e-05,0.00012900000000004574
0.0003589999999999982,5.900000000003125e-05,2.9999999999752447e-06,5.900000000003125e-05,0.0004210000000000047
2.799999999991698e-05,6.599999999989947e-05,4.399999999993298e-05,6.599999999989947e-05,0.00013799999999974943
3.799999999998249e-05,6.700000000003925e-05,4.499999999962867e-05,6.700000000003925e-05,0.0001499999999996504
2.700000000022129e-05,6.899999999987472e-05,4.000000000115023e-06,6.899999999987472e-05,0.00010000000000021103
6.4000000000064e-05,4.099999999995774e-05,3.500000000000725e-05,4.099999999995774e-05,0.000140000000000029
0.00014199999999986446,6.300000000014627e-05,2.9999999999752447e-06,6.300000000014627e-05,0.00020799999999998597
0.00015399999999998748,6.300000000014627e-05,2.9999999999752447e-06,6.300000000014627e-05,0.000220000000000109
0.00014900000000017677,6.299999999992423e-05,2.0000000000575113e-06,6.299999999992423e-05,0.0002140000000001585
0.00027100000000013225,7.099999999993223e-05,2.9999999999752447e-06,7.099999999993223e-05,0.0003450000000000397
0.0002420000000000755,5.199999999971894e-05,2.000000000279556e-06,5.199999999971894e-05,0.000296000000000074
0.00010000000000021103,6.4000000000064e-05,4.000000000115023e-06,6.4000000000064e-05,0.00016800000000039006
7.799999999980045e-05,5.699999999997374e-05,3.000000000419334e-06,5.699999999997374e-05,0.00013800000000019352
0.00015300000000006975,7.00000000000145e-05,1.9999999998354667e-06,7.00000000000145e-05,0.0002249999999999197
5.100000000002325e-05,7.099999999993223e-05,2.9999999999752447e-06,7.099999999993223e-05,0.00012499999999993072
5.199999999994098e-05,6.4000000000064e-05,2.9999999999752447e-06,6.4000000000064e-05,0.00011899999999998023
6.499999999998174e-05,4.899999999996574e-05,2.0000000000575113e-06,4.899999999996574e-05,0.00011600000000000499
6.000000000017103e-05,5.2999999999858716e-05,3.700000000006476e-05,5.2999999999858716e-05,0.0001500000000000945
5.699999999997374e-05,6.20000000000065e-05,2.0000000000575113e-06,6.20000000000065e-05,0.00012100000000003774
5.900000000003125e-05,6.20000000000065e-05,2.0000000000575113e-06,6.20000000000065e-05,0.00012300000000009526
5.199999999994098e-05,6.799999999995698e-05,1.0000000000065512e-05,6.799999999995698e-05,0.00012999999999996348
6.20000000000065e-05,6.299999999992423e-05,4.000000000115023e-06,6.299999999992423e-05,0.00012900000000004574
0.00011499999999986521,4.700000000013027e-05,2.9999999999752447e-06,4.700000000013027e-05,0.00016499999999997073
8.800000000008801e-05,6.799999999995698e-05,2.9999999999752447e-06,6.799999999995698e-05,0.00015900000000002024
7.699999999988272e-05,5.3999999999998494e-05,3.0000000001972893e-06,5.3999999999998494e-05,0.0001340000000000785
5.3999999999998494e-05,6.299999999992423e-05,2.9999999999752447e-06,6.299999999992423e-05,0.00011999999999989797
9.399999999981645e-05,6.20000000000065e-05,2.0000000000575113e-06,6.20000000000065e-05,0.00015799999999988046
0.0001180000000000625,6.399999999984196e-05,5.000000000032756e-06,6.399999999984196e-05,0.00018699999999993722
9.700000000001374e-05,4.0000000000040004e-05,3.700000000006476e-05,4.0000000000040004e-05,0.0001740000000001185
