Operation,MOBILENET_4.4M
Data Size,4.4M
valid,5/5
sessions,1

initial_comms_mean,initial_comms_stdev,inital_comms_median
38069.799999999974,9854.921039764846,40795.00000000014

Session: 1
valid,5/5
first_host_submission_mean,first_tpu_comms_mean,first_tpu_return_mean,first_inference_mean,first_total_mean
10149.399999999976,3560.6000000000026,23.399999999984544,3560.6000000000026,13733.399999999961

first_host_submission_std,first_tpu_comms_std,first_tpu_return_std,first_inference_std,first_total_std
157.3254588424316,129.2257714234941,11.238327277642492,129.2257714234941,190.8095909538979

first_host_submission_med,first_tpu_comms_med,first_tpu_return_med,first_inference_med,first_total_med
10223.000000000093,3642.999999999841,16.99999999971169,3642.999999999841,13727.000000000267

host_submission_mean,tpu_comms_mean,tpu_return_mean,inference_mean,total_mean
159.79999999999885,3317.3999999999814,18.399999999996197,3317.3999999999814,3495.5999999999763

host_submission_stdev,tpu_comms_stdev,tpu_return_stdev,inference_stdev,total_stdev
60.0391538912911,19.03417978270224,13.538833036913328,19.03417978270224,79.17259626910518

host_submission_med,tpu_comms_med,tpu_return_med,inference_med,total_med
185.00000000010175,3317.0000000000146,14.999999999876223,3317.0000000000146,3522.000000000025

host_data_perc,tpu_comms_perc,tpu_data_perc,inference_perc,total_perc
4.571461265591027,94.90216271884667,0.5263760155623162,94.90216271884667,100

first_edge
mean,stddev,median
14671.344798989594,567.116349718335,14481.952995993197

edge
mean,stddev,median
4030.8317984454334,217.29924961626358,4034.1810090467334

cpu
mean,stddev,median
65051.05586082209,2042.823971783604,65065.16700028442

